category,file,detail
ERROR,"10X30.rpt","ERROR 141: Outfall 34530033 has more than 1 inlet link or an outlet link."
ERROR,"18POL.rpt","ERROR 211: invalid number  at line 72 of [XSECT] section:"
ERROR,"1CAM.rpt","ERROR 211: invalid number  at line 217 of [XSECT] section:"
ERROR,"1_5RainWQ.rpt","ERROR 211: invalid number  at line 217 of [XSECT] section:"
ERROR,"ALT3-100.rpt","ERROR 211: invalid number  at line 430 of [XSECT] section:"
ERROR,"BIGXP1.rpt","ERROR 211: invalid number  at line 56 of [XSECT] section:"
ERROR,"CDM.rpt","ERROR 205: invalid keyword DIFWAVE at line 12 of [OPTION] section:"
ERROR,"CollapsingWeir.rpt","ERROR 235: invalid infiltration parameters at line 94 of [INFIL] section:"
ERROR,"DATA11.rpt","ERROR 211: invalid number  at line 64 of [XSECT] section:"
ERROR,"DATA12.rpt","ERROR 211: invalid number  at line 64 of [XSECT] section:"
ERROR,"DATA13.rpt","ERROR 211: invalid number  at line 71 of [XSECT] section:"
ERROR,"DCHRS.rpt","ERROR 114: invalid number of barrels for Conduit 177."
ERROR,"EAST25YR.rpt","ERROR 211: invalid number  at line 426 of [XSECT] section:"
ERROR,"EAXMPL2.rpt","ERROR 211: invalid number  at line 75 of [XSECT] section:"
ERROR,"ERICMW.rpt","ERROR 211: invalid number  at line 407 of [XSECT] section:"
ERROR,"EROSBOD.rpt","ERROR 211: invalid number  at line 52 of [XSECT] section:"
ERROR,"EXI-TB.rpt","ERROR 211: invalid number  at line 2156 of [XSECT] section:"
ERROR,"EXWORK3.rpt","ERROR 211: invalid number  at line 59 of [XSECT] section:"
ERROR,"FRED-001.rpt","ERROR 211: invalid number  at line 52 of [XSECT] section:"
ERROR,"GRND4GAU.rpt","ERROR 211: invalid number  at line 64 of [XSECT] section:"
ERROR,"GWNODE.rpt","ERROR 211: invalid number  at line 50 of [XSECT] section:"
ERROR,"Gwnode1.rpt","ERROR 211: invalid number  at line 52 of [XSECT] section:"
ERROR,"HH-Exist-1_5rainWQ.rpt","ERROR 211: invalid number  at line 216 of [XSECT] section:"
ERROR,"HOSEINT.rpt","ERROR 141: Outfall f3 has more than 1 inlet link or an outlet link."
ERROR,"ICPOND.rpt","ERROR 141: Outfall InflowBn has more than 1 inlet link or an outlet link."
ERROR,"INLET.rpt","ERROR 141: Outfall INLETBOT has more than 1 inlet link or an outlet link."
ERROR,"JOHN1.rpt","ERROR 141: Outfall 205 has more than 1 inlet link or an outlet link."
ERROR,"JOHN1A.rpt","ERROR 141: Outfall 205 has more than 1 inlet link or an outlet link."
ERROR,"KIL1.rpt","ERROR 211: invalid number  at line 222 of [XSECT] section:"
ERROR,"KIL2.rpt","ERROR 211: invalid number  at line 222 of [XSECT] section:"
ERROR,"KIL3.rpt","ERROR 211: invalid number  at line 453 of [XSECT] section:"
ERROR,"KILMAR.rpt","ERROR 211: invalid number  at line 373 of [XSECT] section:"
ERROR,"KILMAR_v1.01.rpt","ERROR 211: invalid number  at line 374 of [XSECT] section:"
ERROR,"LAIETST.rpt","ERROR 211: invalid number  at line 367 of [XSECT] section:"
ERROR,"LAMB2.rpt","ERROR 114: invalid number of barrels for Conduit S-G-060."
